S.No. ,Offer,Applicable to Credit cards,Coupon code
1,30% off on order above INR 200. Maximum discount INR 150. ,Axis Bank Rewards Credit Card,Axis30
2,25% off on order above INR 299. Maximum discount INR 125. ,"J&K Bank Gold Credit Card, J&K Bank Platinum Credit Card, J&K Bank World Credit Card",JKBANK125
3,Get flat INR 200 discount using Axis Bank Select Credit Card. Minimum order value: INR 1000. ,Axis Bank Select Credit Card,Axis200
4,15% off on order above INR 499. Maximum discount INR 150. ,"HSBC Visa Platinum Credit Card, HSBC Premier Mastercard© Credit Card",HSBCDELIGHTS
5,10% off on order above INR 699. Maximum discount INR 100. ,"IndusInd InterMiles Odyssey Amex Credit Card,
IndusInd ePay Amex Credit Card,
IndusInd Bank Club Vistara Explorer Credit Card ,
IndusInd EazyDiner Credit Card,
IndusInd Bank Avios Visa Infinite Credit Card,
IndusInd Pinnacle Credit Card ,
IndusInd Pioneer Heritage Credit Card,
IndusInd Crest Credit Card,
IndusInd Indus Solitaire Credit Card,
IndusInd InterMiles Odyssey Visa Credit Card ,
IndusInd Indulge Credit Card,
IndusInd Platinum Aura Edge Credit Card,
IndusInd Legend Credit Card,
IndusInd Pioneer Legacy Credit Card,
IndusInd Celesta American Express Credit Card,
Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,
IndusInd Samman RuPay Credit Card ,
IndusInd Nexxt Credit Card,
IndusInd Tiger Credit Card,
IndusInd Bank Platinum RuPay Credit Card,
IndusInd Platinum Visa Credit Card,
IndusInd EazyDiner Platinum Credit Card ",INDUSIND100
6,15% off on order above INR 499. Maximum discount INR 150. ,"Federal Bank Wave Credit Card,  Federal Bank Visa Imperio, Federal Bank Visa Celesta, Federal Bank Rupay Signet Credit Card, Federal Bank Mastercard Signet",FEDERALCC150
7,INR 75 off on orders above INR 499. ,"Yes Prosperity Cashback Credit Card,
Yes Prosperity Cashback Plus Credit Card,
YES Bank Marquee Credit Card,
Yes Bank Wellness Plus Credit Card,
Yes RESERV Credit Card,
Yes Bank Card Anq Phi Credit  Card,
Yes Private Prime Credit Card,
YES BANK Paisabazaar PaisaSave Credit Card,
Yes Bank Wellness Credit Card,
Yes Prosperity Edge Credit Card,
Yes ELITE Credit Card,
Yes Prosperity Reward Plus Credit Card,
Yes Prosperity Reward Credit Card,
Yes Bank BYOC Credit Card,
Yes Bank Finbooster Credit Card,
Yes EMI Credit Card ,
YES BANK Anq Pi Credit Card,
YES BANK Rio RuPay Credit Card ",No coupon code required.
8,INR 100 off on orders above INR 299.,"IRCTC SBI Card (on RuPay platform),
Fibe Axis Bank Rupay Credit Card ,
PNB EMT RuPay Platinum Credit Card,
PNB Rupay Select Card,
Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,
PNB Rupay Millennial Card,
IndusInd Samman RuPay Credit Card ,
FIRST EARN RuPay Credit Card,Rupay Platinum Secured Credit Card,
PNB RuPay Platinum Credit Card,
Rupay Select Credit Card,
PNB Patanjali Rupay Select Card,
Rupay Select Secured Credit Card,
Federal Bank Rupay Signet Credit Card,
PNB Patanjali Rupay Platinum Card,
RuPay Select Credit Card,
HDFC Bank UPI RuPay Biz Credit Card,
HDFC UPI RuPay Credit Card ,
IndusInd Bank Platinum RuPay Credit Card,
Bank of India SwaDhan Rupay Platinum Credit Card ,
Bank of India Rupay Platinum Credit Card,
PNB Rakshak Rupay Platinum Card,
Rupay Classic Credit Card,
Rupay Platinum Credit Card,
YES BANK Rio RuPay Credit Card",No coupon code required. You need to pay through your Rupay Credit Card via UPI via PhonPe.
9,INR 50 off on orders above INR 649. ,"Adani One ICICI Signature Credit Card ,
ICICI Bank Sapphiro Credit Card MakeMyTrip ICICI Bank Credit Card,
ICICI Bank HPCL Super Saver Credit Card,
Amazon Pay ICICI Bank Credit Card,
ICICI Parakram Select Credit Card,
Skywards ICICI Bank Emerald Credit Card,
ICICI HPCL Coral Credit Card,
Skywards ICICI Bank Sapphiro Credit Card,
ICICI Manchester United Platinum Credit Card,
Emirates Skywards Rubyx Credit Card,
Adani One ICICI Signature Credit Card ,
ICICI Parakram Credit Card,
Expressions Credit Card,
MakeMyTrip ICICI Bank Signature Credit Card,
MakeMyTrip ICICI Bank Platinum Credit Card,
Adani One ICICI Platinum Credit Card ,
ICICI Bank Emeralde Credit Card,
ICICI Manchester United Signature Credit Card,
ICICI Bank Sapphiro Credit Card,
Chennai Super Kings ICICI Bank Credit Card,
ICICI Bank Coral Credit Card,
ICICI Bank Instant Platinum Credit Card,
Accelero ICICI Bank Credit Card,
Platinum Chip Credit Card ,
ICICI Bank Rubyx Credit Card ",No coupon code required. 
10,10% off your order. Monthly cashback limit INR 1500. ,Swiggy HDFC Credit Card,No coupon code required. 
11,4% off on order above INR 100. ,Flipkart Axis Bank Credit Card,No coupon code required.
12,4% off on order above INR 100. ,Flipkart Axis Bank Ace Credit Card,No coupon code required.
